ID		Centroid		Bounding Box		Equivalent diameter
122	[193.26,	99.27931034482759]	[78.0,	17.0,	1.0]		42.96739856991561
123	[198.34380032206118,	104.60628019323671]	[77.0,	17.0,	1.0]		39.76636159571394
124	[198.16472694717996,	109.85049239033124]	[88.0,	17.0,	1.0]		37.71218067772237
125	[201.07319391634982,	113.62927756653993]	[77.0,	16.0,	1.0]		36.59846992787254
126	[201.43281938325993,	120.20264317180617]	[77.0,	18.0,	1.0]		34.00149271163735
127	[202.75115740740742,	120.83333333333333]	[77.0,	17.0,	1.0]		33.16743834924821
128	[208.20338983050848,	122.58232445520581]	[77.0,	19.0,	1.0]		32.429860683500394
129	[204.91569390402074,	123.81322957198444]	[77.0,	16.0,	1.0]		31.331576548121713
130	[209.8636942675159,	125.37707006369426]	[80.0,	18.0,	1.0]		31.614759885488656
131	[209.0712121212121,	126.23939393939393]	[77.0,	21.0,	1.0]		28.988585676524604
132	[208.34310850439883,	125.66129032258064]	[94.0,	16.0,	1.0]		29.467768315727287
133	[209.82471264367817,	127.86494252873563]	[77.0,	28.0,	1.0]		29.768686956862464
134	[208.69267515923568,	130.04936305732485]	[127.0,	18.0,	1.0]		28.277100878514442
135	[213.0910447761194,	129.43432835820894]	[85.0,	22.0,	1.0]		29.20737055903114
136	[211.4804753820034,	129.830220713073]	[81.0,	18.0,	1.0]		27.384997568906428
137	[213.41910331384017,	132.91423001949317]	[77.0,	16.0,	1.0]		25.557227675339483
138	[214.435318275154,	133.86858316221765]	[83.0,	23.0,	1.0]		24.901157769991823
139	[218.39737991266375,	137.9410480349345]	[77.0,	16.0,	1.0]		24.148368712786887
140	[217.24278846153845,	133.46153846153845]	[77.0,	18.0,	1.0]		23.014509567006368
141	[216.3470437017995,	135.60668380462724]	[78.0,	28.0,	1.0]		22.255115881567058
142	[214.39102564102564,	134.42948717948718]	[79.0,	16.0,	1.0]		19.931149940667517
143	[216.8831615120275,	136.93814432989691]	[120.0,	16.0,	1.0]		19.248706645328987
144	[219.13709677419354,	140.93145161290323]	[116.0,	81.0,	1.0]		17.769732893161912
145	[217.8048780487805,	134.1829268292683]	[101.0,	17.0,	1.0]		17.697935698969246
146	[223.77333333333334,	139.76]	[82.0,	16.0,	1.0]		16.925687506432688
147	[218.87244897959184,	142.3265306122449]	[82.0,	78.0,	1.0]		15.797308339337176
148	[224.23809523809524,	142.53571428571428]	[151.0,	25.0,	1.0]		14.625465582862905
149	[222.49068322981367,	138.1055900621118]	[107.0,	19.0,	1.0]		14.317526556719258
150	[216.69387755102042,	137.76530612244898]	[77.0,	30.0,	1.0]		11.170383851240114
151	[226.72477064220183,	142.1559633027523]	[95.0,	21.0,	1.0]		11.780624362746345
152	[217.92105263157896,	151.3684210526316]	[78.0,	26.0,	1.0]		9.83698151873187
153	[230.05882352941177,	148.33823529411765]	[130.0,	22.0,	1.0]		9.304852983362556
154	[225.578125,	154.359375]	[84.0,	27.0,	1.0]		9.0270333367641
155	[225.45762711864407,	167.91525423728814]	[78.0,	106.0,	1.0]		8.667244841319219
156	[226.2439024390244,	155.0731707317073]	[88.0,	20.0,	1.0]		7.225151993843567
157	[230.34285714285716,	145.37142857142857]	[96.0,	20.0,	1.0]		6.6755811781245455
158	[249.42857142857142,	150.45714285714286]	[87.0,	55.0,	1.0]		6.6755811781245455
159	[236.0,	152.95652173913044]	[210.0,	18.0,	1.0]		5.4115163798060095
160	[222.6153846153846,	141.92307692307693]	[77.0,	22.0,	1.0]		5.753627391751592
161	[223.11764705882354,	135.58823529411765]	[80.0,	17.0,	1.0]		4.652426491681278
162	[219.72222222222223,	166.66666666666666]	[80.0,	111.0,	1.0]		4.787307364817192
163	[165.85714285714286,	147.21428571428572]	[77.0,	19.0,	1.0]		4.222008245644752
164	[204.0,	174.0909090909091]	[98.0,	96.0,	1.0]		3.742410318509555
165	[248.66666666666666,	161.16666666666666]	[140.0,	16.0,	1.0]		3.9088200952233594
